,Date,short-liquidations-usd
619,26 Mar '20,"10,916,920.004755"
620,27 Mar '20,"8,609,814.982705"
621,27 Mar '20,"8,609,814.982705"
622,28 Mar '20,"19,081,537.63803"
623,29 Mar '20,"6,430,813.513649999"
624,29 Mar '20,"6,430,813.513649999"
625,30 Mar '20,"80,605,166.82040738"
626,31 Mar '20,"6,867,902.9157"
627,31 Mar '20,"6,867,902.9157"
628,01 Apr '20,"55,340,797.42048549"
629,01 Apr '20,"55,340,797.42048549"
630,02 Apr '20,"86,707,352.75948955"
631,03 Apr '20,"18,293,860.709739998"
632,03 Apr '20,"18,293,860.709739998"
633,04 Apr '20,"35,684,652.93389"
634,05 Apr '20,"5,897,920.991920001"
635,05 Apr '20,"5,897,920.991920001"
636,06 Apr '20,"52,689,142.13384411"
637,06 Apr '20,"52,689,142.13384411"
638,07 Apr '20,"21,411,361.147990793"
639,08 Apr '20,"16,853,485.85424181"
640,08 Apr '20,"16,853,485.85424181"
641,09 Apr '20,"5,427,279.83319366"
642,09 Apr '20,"5,427,279.83319366"
643,10 Apr '20,"6,203,372.70848637"
644,11 Apr '20,"3,864,389.60428"
645,11 Apr '20,"3,864,389.60428"
646,12 Apr '20,"27,950,039.37607"
647,13 Apr '20,"15,607,871.913613599"
648,13 Apr '20,"15,607,871.913613599"
649,14 Apr '20,"8,614,737.48542"
650,14 Apr '20,"8,614,737.48542"
651,15 Apr '20,"2,622,795.9868900003"
652,16 Apr '20,"51,585,413.35158644"
653,16 Apr '20,"51,585,413.35158644"
654,17 Apr '20,"5,777,347.712960001"
655,18 Apr '20,"24,165,473.763255253"
656,18 Apr '20,"24,165,473.763255253"
657,19 Apr '20,"3,500,851.9428400006"
658,19 Apr '20,"3,500,851.9428400006"
659,20 Apr '20,"9,919,803.7125"
660,21 Apr '20,"6,801,679.6766099995"
661,21 Apr '20,"6,801,679.6766099995"
662,22 Apr '20,"29,805,541.58848"
663,23 Apr '20,"94,734,146.82168"
664,23 Apr '20,"94,734,146.82168"
665,24 Apr '20,"5,711,624.46844"
666,24 Apr '20,"5,711,624.46844"
667,25 Apr '20,"14,642,087.44984"
668,26 Apr '20,"11,410,817.26239473"
669,26 Apr '20,"11,410,817.26239473"
670,27 Apr '20,"19,198,549.14954233"
671,27 Apr '20,"19,198,549.14954233"
672,28 Apr '20,"2,161,441.23782"
673,29 Apr '20,"175,603,922.31990966"
674,29 Apr '20,"175,603,922.31990966"
675,30 Apr '20,"87,720,749.21020561"
676,01 May '20,"16,228,520.94235373"
677,01 May '20,"16,228,520.94235373"
678,02 May '20,"10,221,443.92916998"
679,02 May '20,"10,221,443.92916998"
680,03 May '20,"19,982,821.533950776"
681,04 May '20,"16,457,061.503002588"
682,04 May '20,"16,457,061.503002588"
683,05 May '20,"20,950,464.44106008"
684,06 May '20,"37,731,732.807733655"
685,06 May '20,"37,731,732.807733655"
686,07 May '20,"63,706,585.85630195"
687,07 May '20,"63,706,585.85630195"
688,08 May '20,"8,382,966.12024453"
689,09 May '20,"5,447,578.58877374"
690,09 May '20,"5,447,578.58877374"
691,10 May '20,"43,137,593.5059657"
692,11 May '20,"45,133,007.299518235"
693,11 May '20,"45,133,007.299518235"
694,12 May '20,"16,006,474.95106"
695,12 May '20,"16,006,474.95106"
696,13 May '20,"34,492,419.03802007"
697,14 May '20,"65,360,522.57340543"
